               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11465,             0.10172,                   0,             0.14213,              0.1986,            0.093148,            0.017675,             0.10289,            0.067253,                   0,            0.070357,           0.0032937,           0.0032937
                   1,            0.094925,             0.11548,                   0,            0.080814,             0.41822,            0.059155,            0.014997,            0.091788,             0.15213,                   0,            0.040226,           0.0064958,           0.0064958
                   2,            0.090948,              0.1091,                   0,             0.17832,             0.40187,             0.15491,            0.042664,            0.092845,            0.050917,                   0,           0.0099627,           0.0095659,           0.0095659
                   3,            0.088372,            0.090311,                   0,             0.21594,             0.33879,             0.24555,            0.071669,            0.078606,            0.054205,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.076872,              0.1054,                   0,             0.37718,             0.44393,             0.41999,             0.12427,            0.074729,            0.052282,                   0,            0.009406,            0.009406,            0.009406
                   5,              0.0754,            0.092528,                   0,             0.31723,             0.67757,             0.30449,             0.11655,            0.068747,            0.050161,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.067564,            0.097516,                   0,             0.59323,              0.5771,              0.6037,              0.1839,            0.065615,            0.049401,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.065599,            0.089406,                   0,             0.63023,             0.77804,             0.70172,             0.33182,            0.056978,            0.048778,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.062343,            0.092545,                   0,             0.73246,             0.79956,             0.78905,              0.4103,            0.047312,            0.046265,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.056727,            0.082886,                   0,             0.54763,              0.7241,              0.6117,             0.24314,            0.053837,            0.046449,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.058195,            0.091139,                   0,              0.6452,             0.76168,             0.71129,             0.37762,            0.047263,            0.045753,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.050329,            0.099129,                   0,             0.90464,             0.86682,             0.93786,             0.44771,            0.039643,            0.046298,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.050141,            0.099185,                   0,             0.86039,             0.81075,             0.91213,             0.51284,            0.041283,            0.044467,                   0,            0.007822,            0.007822,            0.007822
                  13,            0.049689,            0.087121,                   0,              0.8746,             0.89623,             0.94323,             0.59875,            0.033621,            0.043066,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.042577,             0.07839,                   0,             0.76196,             0.83178,             0.86022,             0.49639,            0.038143,            0.044255,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.043446,            0.076392,                   0,             0.86857,              0.8801,             0.93513,             0.57671,            0.035001,            0.042688,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.043379,            0.082901,                   0,             0.88727,             0.79078,               0.928,             0.61541,             0.03095,            0.042356,                   0,             0.00703,             0.00703,             0.00703
                  17,              0.0412,            0.083968,                   0,             0.91125,              0.9229,             0.96414,             0.61945,            0.031436,            0.041534,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.038082,            0.077336,                   0,              0.9206,             0.92103,             0.96473,             0.64109,            0.030554,             0.04113,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.037697,            0.081728,                   0,             0.90603,             0.92366,             0.96102,             0.65971,             0.02736,            0.040395,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.035728,             0.08408,                   0,              0.9256,             0.93018,             0.96901,             0.68477,            0.025426,            0.039545,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.035248,            0.082818,                   0,              0.9164,             0.96495,             0.97356,             0.69544,            0.025006,            0.038764,                   0,             0.00604,             0.00604,             0.00604
                  22,              0.0364,            0.083124,                   0,             0.91791,             0.94057,             0.96971,             0.66603,            0.027057,            0.038711,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.034635,            0.071761,                   0,              0.9154,             0.96064,             0.97309,             0.69243,            0.026162,            0.038252,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.034763,            0.075133,                   0,             0.93152,              0.9486,             0.97378,             0.72041,            0.023579,            0.036812,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.03411,            0.073931,                   0,             0.93414,             0.92798,              0.9695,              0.6633,            0.029435,            0.039565,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.035585,            0.085231,                   0,             0.95357,             0.92056,             0.96883,             0.69644,            0.027648,            0.038691,                   0,             0.00505,             0.00505,             0.00505
                  27,             0.03246,            0.072484,                   0,             0.94079,             0.93692,             0.97272,             0.71554,            0.022603,            0.036496,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.031614,            0.079759,                   0,             0.92979,             0.94159,              0.9743,             0.72571,            0.024008,            0.036393,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.031889,            0.075242,                   0,              0.9544,             0.92921,             0.97375,             0.74394,            0.022185,             0.03618,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.030637,            0.074205,                   0,             0.93386,             0.95327,             0.97532,             0.73239,            0.023261,             0.03659,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.031058,            0.074192,                   0,             0.93721,             0.95327,             0.97404,             0.66367,            0.026188,            0.038367,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.029716,            0.070327,                   0,             0.95945,             0.93458,             0.97756,             0.76507,            0.020747,             0.03553,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.026588,            0.071313,                   0,             0.95548,             0.94159,             0.97756,             0.72885,            0.023789,            0.036459,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.027912,            0.067198,                   0,              0.9523,             0.93285,             0.97569,              0.7077,            0.023234,            0.036544,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.027226,            0.071586,                   0,             0.94651,             0.94159,             0.97699,             0.75521,            0.021112,            0.034834,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.029146,            0.089354,                   0,             0.95301,             0.93925,              0.9767,             0.74465,            0.022148,            0.035894,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.027154,            0.064848,                   0,             0.94351,             0.93652,             0.97608,             0.75691,            0.021242,            0.035799,                   0,            0.002872,            0.002872,            0.002872
                  38,              0.0276,            0.074341,                   0,              0.9364,             0.94393,             0.97566,             0.76627,            0.019848,            0.034964,                   0,            0.002674,            0.002674,            0.002674
                  39,            0.025091,            0.060574,                   0,             0.95033,              0.9388,             0.97608,             0.76259,            0.020193,            0.034896,                   0,            0.002476,            0.002476,            0.002476
                  40,             0.02776,            0.078544,                   0,             0.95488,             0.94393,             0.97672,             0.77636,            0.019343,            0.034687,                   0,            0.002278,            0.002278,            0.002278
                  41,             0.02487,            0.072848,                   0,             0.95072,             0.95327,             0.97724,             0.77169,             0.01955,            0.035151,                   0,             0.00208,             0.00208,             0.00208
