               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10839,             0.10768,            0.036161,            0.048192,             0.49331,            0.068977,            0.015323,            0.097695,            0.080385,            0.031384,            0.070357,           0.0032937,           0.0032937
                   1,             0.09367,              0.1217,            0.018223,             0.27093,             0.30402,             0.24431,            0.068074,            0.081462,             0.10409,           0.0082941,            0.040226,           0.0064958,           0.0064958
                   2,            0.089596,             0.10868,           0.0064319,              0.1967,             0.42256,             0.15175,            0.042621,            0.082096,            0.074477,           0.0042716,           0.0099627,           0.0095659,           0.0095659
                   3,            0.091054,            0.089346,           0.0033045,             0.12753,             0.64818,              0.1127,             0.03127,            0.086347,            0.061355,           0.0021905,            0.009406,            0.009406,            0.009406
                   4,            0.090939,            0.082081,           0.0024748,             0.60241,             0.47228,             0.51555,             0.20563,            0.082303,            0.052885,           0.0021868,            0.009406,            0.009406,            0.009406
                   5,            0.095149,            0.085122,           0.0024584,             0.55473,             0.49522,             0.46954,             0.18512,            0.084338,            0.049441,           0.0023904,            0.009208,            0.009208,            0.009208
                   6,            0.090846,            0.079088,           0.0024932,             0.29713,             0.59273,             0.41774,             0.13464,            0.079161,            0.047532,           0.0022085,             0.00901,             0.00901,             0.00901
                   7,            0.086232,            0.074786,           0.0019689,             0.24848,              0.5576,             0.27983,             0.10906,            0.082561,            0.051316,            0.001957,            0.008812,            0.008812,            0.008812
                   8,            0.081558,            0.087452,           0.0024618,              0.6382,             0.70363,             0.72253,              0.3456,              0.0624,            0.061715,           0.0023793,            0.008614,            0.008614,            0.008614
                   9,            0.068898,            0.084978,           0.0022386,             0.55339,             0.60038,             0.59154,             0.24647,            0.062372,            0.051021,           0.0016223,            0.008416,            0.008416,            0.008416
                  10,             0.06743,            0.084909,           0.0018586,             0.64177,             0.70905,              0.6929,             0.25824,            0.058222,            0.053373,           0.0016701,            0.008218,            0.008218,            0.008218
                  11,            0.063622,            0.086217,           0.0020676,             0.79659,             0.81618,             0.86975,             0.35212,            0.049299,            0.054085,           0.0020057,             0.00802,             0.00802,             0.00802
                  12,            0.057896,            0.092392,           0.0022003,             0.82049,             0.80115,             0.87606,             0.48235,             0.04713,            0.052313,           0.0019896,            0.007822,            0.007822,            0.007822
                  13,            0.052172,             0.07812,            0.002176,             0.90433,             0.88566,             0.94075,             0.55206,            0.037304,            0.050752,            0.001944,            0.007624,            0.007624,            0.007624
                  14,            0.048797,            0.075892,           0.0019908,              0.8681,             0.80537,             0.89947,             0.56612,            0.042795,            0.050201,           0.0017395,            0.007426,            0.007426,            0.007426
                  15,            0.046672,            0.078143,            0.001838,              0.8863,             0.86233,             0.93102,              0.4016,            0.039394,            0.050207,             0.00167,            0.007228,            0.007228,            0.007228
                  16,            0.045964,            0.077229,             0.00171,             0.79167,             0.77747,              0.8674,             0.58076,             0.03621,            0.048119,           0.0015194,             0.00703,             0.00703,             0.00703
                  17,             0.04488,            0.079489,           0.0017827,             0.84133,              0.8413,              0.9102,              0.5264,            0.032329,            0.047961,           0.0017094,            0.006832,            0.006832,            0.006832
                  18,            0.042116,            0.076887,           0.0017059,              0.9244,             0.88844,             0.95694,             0.58987,            0.029807,            0.046937,            0.001634,            0.006634,            0.006634,            0.006634
