               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097031,            0.027423,            0.026199,             0.80908,             0.16205,             0.24901,            0.065831,            0.071607,            0.019144,            0.011415,            0.070041,           0.0033288,           0.0033288
                   1,            0.070475,            0.017971,           0.0087841,             0.58328,              0.4197,             0.32043,             0.10725,            0.065727,            0.012869,           0.0094129,            0.039909,           0.0065302,           0.0065302
                   2,            0.066177,            0.015016,           0.0075869,             0.59989,             0.45682,             0.36071,             0.10256,            0.064709,            0.013182,           0.0096575,           0.0096454,           0.0095996,           0.0095996
                   3,            0.060101,            0.014304,           0.0072153,              0.7864,             0.52554,             0.52267,             0.18293,            0.054895,            0.010924,           0.0089455,            0.009406,            0.009406,            0.009406
                   4,             0.05379,            0.013279,           0.0069684,             0.74612,             0.52035,             0.48406,             0.18856,            0.050428,              0.0106,           0.0086773,            0.009406,            0.009406,            0.009406
                   5,            0.052023,            0.012513,           0.0060007,              0.8813,             0.56237,             0.61694,             0.22573,            0.048939,            0.010452,           0.0082811,            0.009208,            0.009208,            0.009208
                   6,            0.048496,            0.012461,           0.0063933,             0.91844,             0.57022,              0.6212,             0.23913,            0.045519,            0.010042,           0.0073946,             0.00901,             0.00901,             0.00901
                   7,            0.047244,            0.012188,           0.0055259,             0.93106,             0.57693,             0.65213,             0.30043,            0.044005,           0.0095247,           0.0066705,            0.008812,            0.008812,            0.008812
                   8,             0.04578,            0.012134,           0.0050643,             0.91981,             0.57689,             0.69959,             0.28062,            0.046284,            0.010017,           0.0059527,            0.008614,            0.008614,            0.008614
                   9,            0.045025,            0.011773,           0.0057654,             0.55536,             0.74853,             0.72015,             0.30186,            0.042451,           0.0094763,           0.0059165,            0.008416,            0.008416,            0.008416
                  10,            0.043859,            0.011851,           0.0044593,             0.73526,             0.87216,             0.88317,             0.40285,            0.040862,            0.009441,           0.0048746,            0.008218,            0.008218,            0.008218
                  11,            0.042557,            0.011685,           0.0038161,             0.78792,             0.88807,             0.88185,             0.39492,            0.041468,           0.0093991,           0.0036547,             0.00802,             0.00802,             0.00802
                  12,             0.04245,            0.012111,           0.0042074,             0.87061,             0.84525,             0.90639,             0.42259,            0.041006,           0.0094771,           0.0032178,            0.007822,            0.007822,            0.007822
                  13,            0.041843,            0.011514,           0.0031458,             0.88189,             0.85435,                 0.9,             0.39073,            0.040194,           0.0093382,           0.0028692,            0.007624,            0.007624,            0.007624
                  14,            0.040783,            0.011629,           0.0024709,             0.83998,             0.88854,             0.88754,             0.40879,              0.0403,           0.0093887,           0.0027445,            0.007426,            0.007426,            0.007426
                  15,            0.040563,            0.011477,           0.0033441,             0.83278,             0.87502,             0.87906,             0.38648,            0.040545,           0.0093631,           0.0025737,            0.007228,            0.007228,            0.007228
                  16,             0.04057,             0.01165,           0.0026464,             0.86796,             0.86159,             0.90622,             0.42922,            0.038791,           0.0092543,           0.0019254,             0.00703,             0.00703,             0.00703
                  17,            0.039892,            0.011487,           0.0017929,             0.84783,             0.88049,             0.90482,             0.38898,            0.042189,           0.0095551,            0.001144,            0.006832,            0.006832,            0.006832
                  18,            0.039226,            0.011581,           0.0021785,             0.87981,             0.85847,             0.91962,             0.40695,            0.040193,            0.009228,           0.0012168,            0.006634,            0.006634,            0.006634
                  19,            0.038928,            0.011367,            0.002247,             0.84534,              0.8501,             0.89788,             0.40046,            0.039411,           0.0093296,           0.0020109,            0.006436,            0.006436,            0.006436
                  20,            0.039383,            0.011589,           0.0021597,             0.88058,             0.85675,              0.9104,             0.43726,            0.038569,           0.0090272,           0.0019776,            0.006238,            0.006238,            0.006238
                  21,            0.038536,            0.011709,           0.0017849,             0.76948,             0.85787,              0.8164,              0.3793,            0.038739,           0.0090989,           0.0013402,             0.00604,             0.00604,             0.00604
                  22,            0.038173,            0.011329,            0.002675,             0.87665,             0.87744,             0.91144,             0.42551,            0.038748,           0.0092184,           0.0012847,            0.005842,            0.005842,            0.005842
                  23,             0.03801,            0.011362,           0.0013665,             0.88596,             0.85351,             0.92651,             0.41882,            0.038871,           0.0091815,           0.0013896,            0.005644,            0.005644,            0.005644
                  24,             0.03685,             0.01111,            0.001199,             0.90272,              0.8768,             0.92105,             0.42549,            0.038989,           0.0090161,           0.0014015,            0.005446,            0.005446,            0.005446
